2024-12-03 08:54:10,802 - 08:54:10.282; 6; 7; 154911; 4263744495820; 1733212450367522368; 1.733212450383255e+18; 254468511; 1733212450718385179; 1733212450778902812; -56; 54/70; None; 53
2024-12-03 08:54:11,356 - 08:54:10.802; 6; 8; 159371; 4263744495820; 1733212450883541589; 1.733212450898465e+18; 299337829; 1733212451274506646; 1733212451333739308; -56; 54/70; neutral; 56
2024-12-03 08:54:11,939 - 08:54:11.357; 6; 9; 136689; 4263744495820; 1733212451435983938; 1.7332124514494536e+18; 327961047; 1733212451854645371; 1733212451916000430; -56; 54/70; happy; 54
2024-12-03 08:54:12,502 - 08:54:11.940; 6; 10; 149083; 4263744495820; 1733212452020449448; 1.733212452035991e+18; 307282166; 1733212452419433518; 1733212452479252973; -56; 54/70; happy; 54
2024-12-03 08:54:13,103 - 08:54:12.503; 7; 0; 140544; 4263744495820; 1733212452583402635; 1.733212452595052e+18; 346339811; 1733212453018686705; 1733212453079384617; 55/70; -55; happy; 54
2024-12-03 08:54:13,772 - 08:54:13.103; 7; 1; 135250; 4263744495820; 1733212453184351536; 1.7332124531939407e+18; 418842271; 1733212453689374637; 1733212453748249408; -56; 54/70; happy; 54
2024-12-03 08:54:14,503 - 08:54:13.772; 7; 2; 142603; 4263744495820; 1733212453851367772; 1.7332124538717245e+18; 469187936; 1733212454418773276; 1733212454479218204; -56; 54/70; happy; 54
2024-12-03 08:54:15,104 - 08:54:14.504; 7; 3; 139179; 4263744495820; 1733212454584627345; 1.733212454604431e+18; 339244698; 1733212455020882681; 1733212455079873223; -56; 54/70; happy; 54
2024-12-03 08:54:15,711 - 08:54:15.104; 7; 4; 150641; 4263744495820; 1733212455184299019; 1.733212455196383e+18; 354128076; 1733212455627462770; 1733212455687478417; -56; 54/70; happy; 54
2024-12-03 08:54:16,267 - 08:54:15.711; 7; 5; 153171; 4263744495820; 1733212455791187414; 1.7332124558076431e+18; 299079364; 1733212456184339392; 1733212456244460718; -56; 54/70; neutral; 56
2024-12-03 08:54:16,796 - 08:54:16.267; 7; 6; 160830; 4263744495820; 1733212456347422166; 1.7332124563644833e+18; 271455153; 1733212456712605935; 1733212456772322778; -56; 54/70; happy; 54
2024-12-03 08:54:17,315 - 08:54:16.796; 7; 7; 154911; 4263744495820; 1733212456876045041; 1.7332124568954514e+18; 260865803; 1733212457233668746; 1733212457293546292; -56; 54/70; None; 53
2024-12-03 08:54:17,888 - 08:54:17.315; 7; 8; 159371; 4263744495820; 1733212457395754279; 1.7332124574121418e+18; 313538017; 1733212457805067461; 1733212457863774839; -56; 54/70; neutral; 56
2024-12-03 08:54:18,479 - 08:54:17.888; 7; 9; 136689; 4263744495820; 1733212457969034216; 1.733212457981309e+18; 337623742; 1733212458396029601; 1733212458456226498; 63/70; -47; happy; 54
2024-12-03 08:54:19,042 - 08:54:18.480; 7; 10; 149083; 4263744495820; 1733212458558656431; 1.7332124585807521e+18; 302168025; 1733212458957111478; 1733212459018490838; -56; 54/70; happy; 54
2024-12-03 08:54:19,676 - 08:54:19.042; 8; 0; 140544; 4263744495820; 1733212459119328634; 1.7332124591349924e+18; 384243008; 1733212459593425317; 1733212459652953473; -56; 54/70; happy; 54
2024-12-03 08:54:20,362 - 08:54:19.676; 8; 1; 135250; 4263744495820; 1733212459754317339; 1.7332124597696187e+18; 431819108; 1733212460277889666; 1733212460338217648; -56; 54/70; happy; 54
2024-12-03 08:54:21,079 - 08:54:20.362; 8; 2; 142603; 4263744495820; 1733212460441393915; 1.73321246046251e+18; 455860484; 1733212460995545405; 1733212461055946076; -56; 54/70; happy; 54
2024-12-03 08:54:21,664 - 08:54:21.079; 8; 3; 139179; 4263744495820; 1733212461160410086; 1.7332124611810944e+18; 322131804; 1733212461580376854; 1733212461641563917; -56; 54/70; happy; 54
2024-12-03 08:54:22,259 - 08:54:21.664; 8; 4; 150641; 4263744495820; 1733212461743684214; 1.733212461761558e+18; 339050184; 1733212462176659347; 1733212462236415750; -56; 54/70; happy; 54
2024-12-03 08:54:22,791 - 08:54:22.259; 8; 5; 153171; 4263744495820; 1733212462339815957; 1.7332124623522936e+18; 276390462; 1733212462706808031; 1733212462767707243; -56; 54/70; neutral; 56
